Harshal Patel,3.8,158.33
Anureet Singh,6,58.06
Bhuvneshwar Kumar,17,170
Praveen Kumar,5.67,68
Sean Abbott,7.5,115.38
Aditya Tare,7,82.35
Rilee Rossouw,7,140
Mitchell McClenaghan,13,216.67
Tim Southee,13,144.44
Darren Sammy,6.5,72.22
Thisara Perera,6,80
Mitchell Starc,11,78.57
Karanveer Singh,11,68.75
Abu Nechim,10,200
Virat Kohli,81.08,152.03
David Warner,60.57,151.43
AB de Villiers,52.85,168.8
Shikhar Dhawan,38.54,116.78
Gautam Gambhir,38.54,121.9
Rohit Sharma,44.45,132.88
Ajinkya Rahane,43.64,126.65
Murali Vijay,34.85,124.45
Quinton de Kock,37.08,136.09
Suresh Raina,28.5,127.88
Lokesh Rahul,44.11,146.49
Robin Uthappa,26.27,136.33
Aaron Finch,39.3,131.44
Yusuf Pathan,72.2,145.56
Karun Nair,35.7,120.2
Brendon McCullum,22.12,135.11
Dinesh Karthik,25.77,125.94
Ambati Rayudu,30.36,120.14
Dwayne Smith,29.45,146.61
Sanju Samson,26.45,112.36
MS Dhoni,40.57,135.24
Wriddhiman Saha,24.55,127.36
Steven Smith,45,153.41
Jos Buttler,23.18,138.59
Manish Pandey,31,135.52
Krunal Pandya,39.5,191.13
Yuvraj Singh,26.22,131.84
Chris Gayle,22.7,151.33
Kieron Pollard,26,144.44
Faf du Plessis,34.33,127.16
Rishabh Pant,24.75,130.26
Chris Morris,65,178.9
Ravindra Jadeja,21.22,107.91
Jean-Paul Duminy,38.2,122.44
Andre Russell,26.86,164.91
Suryakumar Yadav,26,127.27
Moises Henriques,15.17,115.19
Shane Watson,13.77,133.58
Glenn Maxwell,19.89,144.35
Parthiv Patel,17.7,116.45
Saurabh Tiwary,24.29,120.57
Manan Vohra,23,122.9
David Miller,16.1,122.9
Shaun Marsh,31.8,118.66
Hashim Amla,26.17,131.93
Thisara Perera,21.43,161.29
Marcus Stoinis,36.5,135.19
Deepak Hooda,10.29,119.01
Naman Ojha,13.6,98.55
