Dhawal Kulkarni,7.43,16.33
Deepak Hooda,7.46,26
Amit Mishra,7.48,21.23
Ashok Dinda,7.57,16.64
Krunal Pandya,7.57,31.17
Nathan Coulter-Nile,7.6,30
Ankit Sharma,7.64,66
Tim Southee,7.65,28.67
Ashish Nehra,7.65,17.33
Scott Boland,7.71,21
Zaheer Khan,7.72,26.2
Piyush Chawla,7.73,19.27
Ravindra Jadeja,7.74,30.12
Gurkeerat Singh Mann,7.75,12
Praveen Kumar,7.79,34.33
Jasprit Bumrah,7.81,20.8
Shakib Al Hasan,7.84,37.2
Jean-Paul Duminy,7.86,21
Stuart Binny,7.88,102
Jason Holder,7.92,39
Andre Russell,7.97,14.6
Moises Henriques,7.98,26
Harbhajan Singh,8,32.67
Rishi Dhawan,8,21
Axar Patel,8.11,22.08
Yuzvendra Chahal,8.16,14.05
Carlos Brathwaite,8.16,19.86
Mitchell McClenaghan,8.18,18.82
Kuldeep Yadav,8.33,12
Barinder Sran,8.34,21.21
Pardeep Sahu,8.34,35
Shivil Koushik,8.35,23
Morne Morkel,8.37,21.3
Mohit Sharma,8.39,22.38
Marcus Stoinis,8.43,17.25
Murugan Ashwin,8.46,24.43
Shahbaz Nadeem,8.47,45
Dwayne Smith,8.5,13.5
Iqbal Abdulla,8.52,25
Shane Watson,8.58,16.95
Imran Tahir,8.62,19.2
Bipul Sharma,8.64,28
Dwayne Bravo,8.82,19.76
Brad Hogg,8.88,24
Shadab Jakati,8.9,60
Ankit Rajpoot,8.91,22
Pravin Tambe,8.94,19.2
Umesh Yadav,9,15.6
Hardik Pandya,9.18,33.33
Tabraiz Shamsi,9.19,32
Chris Jordan,9.21,15.27
Parvez Rasool,9.21,84
RP Singh,9.25,24
Pawan Negi,9.33,54
KC Cariappa,9.35,34
Varun Aaron,9.59,71
Mitchell Johnson,9.64,33
Mohammed Shami,9.69,30.2
Trent Boult,9.75,24
Kane Richardson,9.79,12
James Faulkner,9.82,51
Thisara Perera,9.83,22.11
Rajagopal Sathish,9.83,36
Ishant Sharma,9.87,30
Ashish Reddy,10.18,23
Harshal Patel,10.5,84
Adam Milne,10.75,24
Kyle Abbott,11.06,48
Albie Morkel,13.2,15
